_source_file,date,program,exercise,set_no,weight_kg,reps,time_sec,iso_load,volume,notes
18_08_25 Lower D.txt,18_08_25,Lower D,Shrugs,1.0,20.0,12.0,,,240.0,f
18_08_25 Lower D.txt,18_08_25,Lower D,Shrugs,2.0,20.0,10.0,,,200.0,f
18_08_25 Lower D.txt,18_08_25,Lower D,Seated Calf Raises,1.0,15.0,12.0,,,180.0,f
18_08_25 Lower D.txt,18_08_25,Lower D,Seated Calf Raises,2.0,15.0,11.0,,,165.0,f
18_08_25 Lower D.txt,18_08_25,Lower D,Reverse EZ Bar Curls,1.0,26.0,9.0,,,234.0,f
18_08_25 Lower D.txt,18_08_25,Lower D,Reverse EZ Bar Curls,2.0,26.0,7.0,,,182.0,f
18_08_25 Lower D.txt,18_08_25,Lower D,Cable Tricep Pushdowns,1.0,20.0,8.0,,,160.0,"f, last 2 not perfect form"
18_08_25 Lower D.txt,18_08_25,Lower D,Cable Tricep Pushdowns,2.0,20.0,8.0,,,160.0,"f, rest pause"
18_08_25 Lower D.txt,18_08_25,Lower D,Front Wrist Curls,1.0,15.0,10.0,,,150.0,f
18_08_25 Lower D.txt,18_08_25,Lower D,Front Wrist Curls,2.0,15.0,8.0,,,120.0,f
18_08_25 Lower D.txt,18_08_25,Lower D,Side Plank,1.0,,,50.0,,,f
18_08_25 Lower D.txt,18_08_25,Lower D,Side Plank,2.0,,,45.0,,,f ; Weight: 70kg
19-11-25 Full Body.txt,2025-11-19,Full Body,Deadlifts,1.0,120.0,4.0,,,480.0,2 without straps
19-11-25 Full Body.txt,2025-11-19,Full Body,Deadlifts,2.0,120.0,3.0,,,360.0,"with straps and belt, f"
19-11-25 Full Body.txt,2025-11-19,Full Body,Barbell Bench Press,1.0,70.0,3.0,,,210.0,"f, PR"
19-11-25 Full Body.txt,2025-11-19,Full Body,Barbell Bench Press,2.0,70.0,2.0,,,140.0,"f, PR"
19-11-25 Full Body.txt,2025-11-19,Full Body,Barbell Back Squats,1.0,80.0,4.0,,,320.0,"last 2 form off, f"
19-11-25 Full Body.txt,2025-11-19,Full Body,Barbell Back Squats,2.0,70.0,2.0,,,140.0,f
19-11-25 Full Body.txt,2025-11-19,Full Body,Lat Pulldown,1.0,70.0,4.0,,,280.0,"f, 2 without straps"
19-11-25 Full Body.txt,2025-11-19,Full Body,Lat Pulldown,2.0,70.0,2.0,,,140.0,f
19-11-25 Full Body.txt,2025-11-19,Full Body,Barbell Overhead Press,1.0,40.0,8.0,,,320.0,f
19-11-25 Full Body.txt,2025-11-19,Full Body,Barbell Overhead Press,2.0,40.0,4.0,,,160.0,f
19-11-25 Full Body.txt,2025-11-19,Full Body,Barbell Bent Over Rows,1.0,60.0,6.0,,,360.0,f
19-11-25 Full Body.txt,2025-11-19,Full Body,Overhead Cable Tricep Extension,1.0,,25.0,,,,f
19-11-25 Full Body.txt,2025-11-19,Full Body,Cable Bicep Curls,1.0,,30.0,,,,f
19-11-25 Full Body.txt,2025-11-19,Full Body,Seated Calf Raises,1.0,,20.0,,,,f
19_08_25 Upper A.txt,19_08_25,Upper A,Barbell Bench Press,1.0,64.0,5.0,,,320.0,f
19_08_25 Upper A.txt,19_08_25,Upper A,Barbell Bench Press,2.0,64.0,4.0,,,256.0,f
19_08_25 Upper A.txt,19_08_25,Upper A,Barbell Bench Press,3.0,54.0,7.0,,,378.0,f ; (Note: stick with this weight until easy as form is not perfect)
19_08_25 Upper A.txt,19_08_25,Upper A,Barbell Bent Over Rows,1.0,54.0,6.0,,,324.0,f
19_08_25 Upper A.txt,19_08_25,Upper A,Barbell Bent Over Rows,2.0,54.0,4.0,,,216.0,f
19_08_25 Upper A.txt,19_08_25,Upper A,Weighted Pull-Ups,1.0,,5.0,,,,"f, with rest pause"
19_08_25 Upper A.txt,19_08_25,Upper A,Weighted Pull-Ups,2.0,,4.0,,,,"f, rest pause"
19_08_25 Upper A.txt,19_08_25,Upper A,Barbell Overhead Press,1.0,40.0,6.0,,,240.0,f
19_08_25 Upper A.txt,19_08_25,Upper A,Barbell Overhead Press,2.0,40.0,5.0,,,200.0,f
19_08_25 Upper A.txt,19_08_25,Upper A,Incline Dumbbell Press,1.0,20.0,9.0,,,180.0,f
19_08_25 Upper A.txt,19_08_25,Upper A,Incline Dumbbell Press,2.0,20.0,6.0,,,120.0,f
19_08_25 Upper A.txt,19_08_25,Upper A,Dumbbell Lateral Raises,1.0,7.5,15.0,,,112.5,"f, after 10-12 not good form"
19_08_25 Upper A.txt,19_08_25,Upper A,Dumbbell Lateral Raises,2.0,7.5,15.0,,,112.5,"f, rest pause"
19_08_25 Upper A.txt,19_08_25,Upper A,Barbell Bicep Curls,1.0,30.0,8.0,,,240.0,f
19_08_25 Upper A.txt,19_08_25,Upper A,Barbell Bicep Curls,2.0,30.0,7.0,,,210.0,f
19_08_25 Upper A.txt,19_08_25,Upper A,Overhead Cable Tricep Extension,1.0,15.0,10.0,,,150.0,f
19_08_25 Upper A.txt,19_08_25,Upper A,Overhead Cable Tricep Extension,2.0,17.0,7.0,,,119.0,f
19_08_25 Upper A.txt,19_08_25,Upper A,Reverse Pec Deck,1.0,40.0,8.0,,,320.0,f
19_08_25 Upper A.txt,19_08_25,Upper A,Reverse Pec Deck,2.0,40.0,7.0,,,280.0,f
19_08_25 Upper A.txt,19_08_25,Upper A,Hanging Knee Raises,1.0,,15.0,,,,
19_08_25 Upper A.txt,19_08_25,Upper A,Hanging Knee Raises,2.0,,15.0,,,,
20-09-25 Lower D.txt,2025-09-20,Lower D,Deadlifts,1.0,110.0,7.0,,,770.0,"f, with straps and belt, last form broke"
20-09-25 Lower D.txt,2025-09-20,Lower D,Deadlifts,2.0,110.0,4.0,,,440.0,"f, with straps and belt"
20-09-25 Lower D.txt,2025-09-20,Lower D,Weighted Pull-Ups,1.0,,4.0,,,,f
20-09-25 Lower D.txt,2025-09-20,Lower D,Weighted Pull-Ups,2.0,,2.0,,,,f
20-09-25 Lower D.txt,2025-09-20,Lower D,Weighted Pull-Ups,3.0,,2.0,,,,f
20-09-25 Lower D.txt,2025-09-20,Lower D,Weighted Pull-Ups,4.0,,4.0,,,,"f, with straps"
20-09-25 Lower D.txt,2025-09-20,Lower D,Barbell Good Mornings,1.0,30.0,12.0,,,360.0,ctf
20-09-25 Lower D.txt,2025-09-20,Lower D,Barbell Good Mornings,2.0,30.0,12.0,,,360.0,ctf
20-09-25 Lower D.txt,2025-09-20,Lower D,Bulgarian Split Squats,1.0,30.0,8.0,,,240.0,f
20-09-25 Lower D.txt,2025-09-20,Lower D,Bulgarian Split Squats,2.0,30.0,8.0,,,240.0,f
20-09-25 Lower D.txt,2025-09-20,Lower D,Shrugs,1.0,50.0,5.0,,,250.0,f
20-09-25 Lower D.txt,2025-09-20,Lower D,Shrugs,2.0,50.0,8.0,,,400.0,"f, with straps"
20-09-25 Lower D.txt,2025-09-20,Lower D,Seated Calf Raises,1.0,20.0,6.0,,,120.0,f
20-09-25 Lower D.txt,2025-09-20,Lower D,Seated Calf Raises,2.0,20.0,5.0,,,100.0,f
20-09-25 Lower D.txt,2025-09-20,Lower D,Side Plank,1.0,,,37.0,,,f
20-09-25 Lower D.txt,2025-09-20,Lower D,Side Plank,2.0,,,30.0,,,
20-09-25 Lower D.txt,2025-09-20,Lower D,Decline Crunches,1.0,,13.0,,,,f
20-09-25 Lower D.txt,2025-09-20,Lower D,Decline Crunches,2.0,,6.0,,,,f
20_08_25 Lower  B.txt,20_08_25,Lower  B,Barbell Back Squats,1.0,72.0,4.0,,,288.0,f
20_08_25 Lower  B.txt,20_08_25,Lower  B,Barbell Back Squats,2.0,72.0,2.0,,,144.0,f
20_08_25 Lower  B.txt,20_08_25,Lower  B,Barbell Back Squats,3.0,50.0,10.0,,,500.0,cardio failure
20_08_25 Lower  B.txt,20_08_25,Lower  B,Dumbbell RDLs,1.0,20.0,8.0,,,160.0,ctf
20_08_25 Lower  B.txt,20_08_25,Lower  B,Dumbbell RDLs,2.0,20.0,9.0,,,180.0,"f, grip ; (wide feet)"
20_08_25 Lower  B.txt,20_08_25,Lower  B,Leg Press,1.0,150.0,9.0,,,1350.0,"f, last 2 not perfectly down"
20_08_25 Lower  B.txt,20_08_25,Lower  B,Leg Press,2.0,150.0,7.0,,,1050.0,f
20_08_25 Lower  B.txt,20_08_25,Lower  B,Lying Hamstring Curls,1.0,20.0,8.0,,,160.0,f
20_08_25 Lower  B.txt,20_08_25,Lower  B,Lying Hamstring Curls,2.0,20.0,6.0,,,120.0,f
20_08_25 Lower  B.txt,20_08_25,Lower  B,Seated Calf Raises,1.0,15.0,14.0,,,210.0,f
20_08_25 Lower  B.txt,20_08_25,Lower  B,Seated Calf Raises,2.0,15.0,12.0,,,180.0,f
20_08_25 Lower  B.txt,20_08_25,Lower  B,Cable Tricep Kickbacks,1.0,5.0,11.0,,,55.0,f
20_08_25 Lower  B.txt,20_08_25,Lower  B,Cable Tricep Kickbacks,2.0,5.0,9.0,,,45.0,f
20_08_25 Lower  B.txt,20_08_25,Lower  B,Dumbbell Hammer Curls,1.0,12.5,8.0,,,100.0,f
20_08_25 Lower  B.txt,20_08_25,Lower  B,Dumbbell Hammer Curls,2.0,12.5,6.0,,,75.0,f
20_08_25 Lower  B.txt,20_08_25,Lower  B,Plank,1.0,15.0,,36.0,540.0,,
20_08_25 Lower  B.txt,20_08_25,Lower  B,Plank,2.0,15.0,,55.0,825.0,,f
21_07_25 Torso A.txt,21_07_25,Torso A,Weighted Pull-Ups,1.0,,5.0,,,,Close to failure
21_07_25 Torso A.txt,21_07_25,Torso A,Weighted Pull-Ups,2.0,,4.0,,,,failure
21_07_25 Torso A.txt,21_07_25,Torso A,Weighted Pull-Ups,3.0,,2.0,,,,failure
21_07_25 Torso A.txt,21_07_25,Torso A,Seated Cable Rows,1.0,35.0,8.0,,,280.0,Close
21_07_25 Torso A.txt,21_07_25,Torso A,Seated Cable Rows,2.0,40.0,7.0,,,280.0,failure
21_07_25 Torso A.txt,21_07_25,Torso A,Cable Lateral Raises,1.0,5.0,10.0,,,50.0,failure
21_07_25 Torso A.txt,21_07_25,Torso A,Cable Lateral Raises,2.0,5.0,7.0,,,35.0,failure
21_07_25 Torso A.txt,21_07_25,Torso A,Reverse Pec Deck,1.0,35.0,7.0,,,245.0,failure
21_07_25 Torso A.txt,21_07_25,Torso A,Reverse Pec Deck,2.0,35.0,6.0,,,210.0,failure
21_07_25 Torso A.txt,21_07_25,Torso A,Incline Dumbbell Press,1.0,20.0,7.0,,,140.0,close
21_07_25 Torso A.txt,21_07_25,Torso A,Incline Dumbbell Press,2.0,20.0,6.0,,,120.0,failure
21_07_25 Torso A.txt,21_07_25,Torso A,Face Pulls,1.0,25.0,8.0,,,200.0,failure
21_07_25 Torso A.txt,21_07_25,Torso A,Face Pulls,2.0,25.0,6.0,,,150.0,failure
21_07_25 Torso A.txt,21_07_25,Torso A,Front Wrist Curls,1.0,17.0,8.0,,,136.0,
21_07_25 Torso A.txt,21_07_25,Torso A,Front Wrist Curls,2.0,20.0,6.0,,,120.0,
21_07_25 Torso A.txt,21_07_25,Torso A,Push-Ups,1.0,,13.0,,,,failure
21_07_25 Torso A.txt,21_07_25,Torso A,Push-Ups,2.0,,10.0,,,,failure
22-09-25 Upper A.txt,2025-09-22,Upper A,Barbell Bench Press,1.0,50.0,8.0,,,400.0,1-2 RIR
22-09-25 Upper A.txt,2025-09-22,Upper A,Barbell Bench Press,2.0,50.0,5.0,,,250.0,1 RIP
22-09-25 Upper A.txt,2025-09-22,Upper A,Barbell Bench Press,3.0,50.0,10.0,,,500.0,f
22-09-25 Upper A.txt,2025-09-22,Upper A,Weighted Pull-Ups,1.0,5.0,3.0,,,15.0,ctf
22-09-25 Upper A.txt,2025-09-22,Upper A,Weighted Pull-Ups,2.0,5.0,2.0,,,10.0,f
22-09-25 Upper A.txt,2025-09-22,Upper A,Weighted Pull-Ups,3.0,,3.0,,,,f
22-09-25 Upper A.txt,2025-09-22,Upper A,Weighted Pull-Ups,4.0,,2.0,,,,f
22-09-25 Upper A.txt,2025-09-22,Upper A,Barbell Bent Over Rows,1.0,40.0,7.0,,,280.0,1-2 RIR
22-09-25 Upper A.txt,2025-09-22,Upper A,Barbell Bent Over Rows,2.0,40.0,5.0,,,200.0,1-2 RIR
22-09-25 Upper A.txt,2025-09-22,Upper A,Barbell Overhead Press,1.0,30.0,6.0,,,180.0,1-2 RIR
22-09-25 Upper A.txt,2025-09-22,Upper A,Barbell Overhead Press,2.0,30.0,5.0,,,150.0,f
22-09-25 Upper A.txt,2025-09-22,Upper A,Incline Dumbbell Press,1.0,20.0,8.0,,,160.0,1 RIR
22-09-25 Upper A.txt,2025-09-22,Upper A,Incline Dumbbell Press,2.0,20.0,7.0,,,140.0,f
22-09-25 Upper A.txt,2025-09-22,Upper A,Dumbbell Lateral Raises,1.0,7.5,15.0,,,112.5,
22-09-25 Upper A.txt,2025-09-22,Upper A,Dumbbell Lateral Raises,2.0,7.5,15.0,,,112.5,
22-09-25 Upper A.txt,2025-09-22,Upper A,Dumbbell Lateral Raises,3.0,7.5,15.0,,,112.5,f
22-09-25 Upper A.txt,2025-09-22,Upper A,Reverse Pec Deck,1.0,30.0,15.0,,,450.0,
22-09-25 Upper A.txt,2025-09-22,Upper A,Reverse Pec Deck,2.0,30.0,12.0,,,360.0,
22-09-25 Upper A.txt,2025-09-22,Upper A,Reverse Pec Deck,3.0,15.0,11.0,,,165.0,single arm
22-09-25 Upper A.txt,2025-09-22,Upper A,Cable Bicep Curls,1.0,21.0,11.0,,,231.0,f
22-09-25 Upper A.txt,2025-09-22,Upper A,Cable Bicep Curls,2.0,21.0,10.0,,,210.0,f
22-09-25 Upper A.txt,2025-09-22,Upper A,Cable Bicep Curls,3.0,21.0,9.0,,,189.0,f ; (V - Bar)
22-09-25 Upper A.txt,2025-09-22,Upper A,Overhead Cable Tricep Extension,1.0,15.0,7.0,,,105.0,f
22-09-25 Upper A.txt,2025-09-22,Upper A,Overhead Cable Tricep Extension,2.0,15.0,6.0,,,90.0,f
22-09-25 Upper A.txt,2025-09-22,Upper A,Overhead Cable Tricep Extension,3.0,15.0,6.0,,,90.0,f
22-10-25 Upper A.txt,2025-10-22,Upper A,Barbell Bench Press,1.0,64.0,7.0,,,448.0,f
22-10-25 Upper A.txt,2025-10-22,Upper A,Barbell Bench Press,2.0,64.0,5.0,,,320.0,f
22-10-25 Upper A.txt,2025-10-22,Upper A,Barbell Bench Press,3.0,50.0,10.0,,,500.0,f
22-10-25 Upper A.txt,2025-10-22,Upper A,Weighted Pull-Ups,1.0,5.0,4.0,,,20.0,f
22-10-25 Upper A.txt,2025-10-22,Upper A,Weighted Pull-Ups,2.0,5.0,2.0,,,10.0,f
22-10-25 Upper A.txt,2025-10-22,Upper A,Weighted Pull-Ups,3.0,,2.0,,,,f
22-10-25 Upper A.txt,2025-10-22,Upper A,Lat Pulldown,1.0,50.0,7.0,,,350.0,f
22-10-25 Upper A.txt,2025-10-22,Upper A,Lat Pulldown,2.0,50.0,5.0,,,250.0,f
22-10-25 Upper A.txt,2025-10-22,Upper A,Barbell Overhead Press,1.0,40.0,6.0,,,240.0,f
22-10-25 Upper A.txt,2025-10-22,Upper A,Barbell Overhead Press,2.0,40.0,4.0,,,160.0,
22-10-25 Upper A.txt,2025-10-22,Upper A,Barbell Overhead Press,,30.0,5.0,,,150.0,
22-10-25 Upper A.txt,2025-10-22,Upper A,Barbell Bent Over Rows,1.0,60.0,9.0,,,540.0,"f, 6 reps without straps"
22-10-25 Upper A.txt,2025-10-22,Upper A,Barbell Bent Over Rows,2.0,60.0,7.0,,,420.0,"f, with straps"
22-10-25 Upper A.txt,2025-10-22,Upper A,Incline DB Lateral Raises,1.0,7.5,12.0,,,90.0,f
22-10-25 Upper A.txt,2025-10-22,Upper A,Incline DB Lateral Raises,2.0,7.5,10.0,,,75.0,f
22-10-25 Upper A.txt,2025-10-22,Upper A,Incline DB Lateral Raises,3.0,7.5,7.0,,,52.5,f
22-10-25 Upper A.txt,2025-10-22,Upper A,1-Arm Reverse Pec Deck,1.0,25.0,8.0,,,200.0,f
22-10-25 Upper A.txt,2025-10-22,Upper A,1-Arm Reverse Pec Deck,2.0,25.0,7.0,,,175.0,f ; (V - Bar)
22-10-25 Upper A.txt,2025-10-22,Upper A,Overhead Cable Tricep Extension,1.0,16.0,7.0,,,112.0,f
22-10-25 Upper A.txt,2025-10-22,Upper A,Overhead Cable Tricep Extension,2.0,16.0,7.0,,,112.0,f
22-10-25 Upper A.txt,2025-10-22,Upper A,Overhead Cable Tricep Extension,3.0,10.0,15.0,,,150.0,
22-10-25 Upper A.txt,2025-10-22,Upper A,Cable Bicep Curls,1.0,30.0,5.0,,,150.0,f
22-10-25 Upper A.txt,2025-10-22,Upper A,Cable Bicep Curls,2.0,30.0,4.0,,,120.0,f ; (Cable)
22-10-25 Upper A.txt,2025-10-22,Upper A,Front Wrist Curls,1.0,15.0,20.0,,,300.0,f
22-10-25 Upper A.txt,2025-10-22,Upper A,Front Wrist Curls,2.0,15.0,21.0,,,315.0,f ; (Current BW Weight: 74.46 kg) ; (4 KG increase from last month)
22_07_25 Limbs A.txt,22_07_25,Limbs A,Deadlifts,1.0,90.0,6.0,,,540.0,failure i think
22_07_25 Limbs A.txt,22_07_25,Limbs A,Deadlifts,2.0,90.0,6.0,,,540.0,form broke at 5 ; (Plate weight only)
22_07_25 Limbs A.txt,22_07_25,Limbs A,EZ Bar Skull Crushers,1.0,20.0,7.0,,,140.0,failure
22_07_25 Limbs A.txt,22_07_25,Limbs A,EZ Bar Skull Crushers,2.0,20.0,6.0,,,120.0,f
22_07_25 Limbs A.txt,22_07_25,Limbs A,EZ Bar Bicep Curls,1.0,20.0,8.0,,,160.0,failure
22_07_25 Limbs A.txt,22_07_25,Limbs A,EZ Bar Bicep Curls,2.0,24.0,6.0,,,144.0,f
22_07_25 Limbs A.txt,22_07_25,Limbs A,Hack Squat,1.0,70.0,9.0,,,630.0,f
22_07_25 Limbs A.txt,22_07_25,Limbs A,Hack Squat,2.0,90.0,8.0,,,720.0,f ; (Note this Machine is easy switch workout next time for BSS)
22_07_25 Limbs A.txt,22_07_25,Limbs A,Leg Extension,1.0,30.0,8.0,,,240.0,
22_07_25 Limbs A.txt,22_07_25,Limbs A,Leg Extension,2.0,30.0,11.0,,,330.0,(Note increase weight)
22_07_25 Limbs A.txt,22_07_25,Limbs A,Seated Calf Raises,1.0,20.0,9.0,,,180.0,failure i think
22_07_25 Limbs A.txt,22_07_25,Limbs A,Seated Calf Raises,2.0,20.0,8.0,,,160.0,not failure
22_07_25 Limbs A.txt,22_07_25,Limbs A,Plank,1.0,10.0,,60.0,600.0,,
22_07_25 Limbs A.txt,22_07_25,Limbs A,Hanging Knee Raises,1.0,,14.0,,,,
22_08_25 Upper C.txt,22_08_25,Upper C,Lat Pulldown,1.0,55.0,6.0,,,330.0,f
22_08_25 Upper C.txt,22_08_25,Upper C,Lat Pulldown,2.0,55.0,5.0,,,275.0,f
22_08_25 Upper C.txt,22_08_25,Upper C,Lat Pulldown,3.0,,45.0,,,,f
22_08_25 Upper C.txt,22_08_25,Upper C,Incline Barbell Bench Press,1.0,50.0,9.0,,,450.0,ctf
22_08_25 Upper C.txt,22_08_25,Upper C,Incline Barbell Bench Press,2.0,50.0,7.0,,,350.0,ctf
22_08_25 Upper C.txt,22_08_25,Upper C,Seated Cable Rows,1.0,40.0,10.0,,,400.0,f
22_08_25 Upper C.txt,22_08_25,Upper C,Seated Cable Rows,2.0,40.0,8.0,,,320.0,f
22_08_25 Upper C.txt,22_08_25,Upper C,Dumbbell Lateral Raises,1.0,7.5,16.0,,,120.0,f
22_08_25 Upper C.txt,22_08_25,Upper C,Dumbbell Lateral Raises,2.0,7.5,14.0,,,105.0,f
22_08_25 Upper C.txt,22_08_25,Upper C,Incline Dumbbell Reverse Fly,1.0,5.0,20.0,,,100.0,
22_08_25 Upper C.txt,22_08_25,Upper C,Incline Dumbbell Reverse Fly,2.0,5.0,20.0,,,100.0,
22_08_25 Upper C.txt,22_08_25,Upper C,Dumbbell Preacher Curls,1.0,15.0,10.0,,,150.0,"f, cn"
22_08_25 Upper C.txt,22_08_25,Upper C,Dumbbell Preacher Curls,2.0,15.0,8.0,,,120.0,"f, cn"
22_08_25 Upper C.txt,22_08_25,Upper C,Weighted Triceps Dips,1.0,,10.0,,,,
22_08_25 Upper C.txt,22_08_25,Upper C,Weighted Triceps Dips,2.0,,8.0,,,,
22_08_25 Upper C.txt,22_08_25,Upper C,Decline Crunches,1.0,,11.0,,,,f
22_08_25 Upper C.txt,22_08_25,Upper C,Decline Crunches,2.0,,7.0,,,,f
23-09-25 Lower  B.txt,2025-09-23,Lower  B,Barbell Back Squats,1.0,50.0,6.0,,,300.0,"not f, 2-3 sec hold at bottom"
23-09-25 Lower  B.txt,2025-09-23,Lower  B,Barbell Back Squats,2.0,50.0,6.0,,,300.0,ctf same as before
23-09-25 Lower  B.txt,2025-09-23,Lower  B,Barbell RDLs,1.0,30.0,10.0,,,300.0,nf
23-09-25 Lower  B.txt,2025-09-23,Lower  B,Barbell RDLs,2.0,30.0,10.0,,,300.0,nf
23-09-25 Lower  B.txt,2025-09-23,Lower  B,Weighted Pull-Ups,1.0,,5.0,,,,nf
23-09-25 Lower  B.txt,2025-09-23,Lower  B,Weighted Pull-Ups,2.0,,3.0,,,,f ; (Wide feet)
23-09-25 Lower  B.txt,2025-09-23,Lower  B,Leg Press,1.0,120.0,8.0,,,960.0,nf
23-09-25 Lower  B.txt,2025-09-23,Lower  B,Leg Press,2.0,120.0,8.0,,,960.0,nf
23-09-25 Lower  B.txt,2025-09-23,Lower  B,Lying Hamstring Curls,1.0,15.0,6.0,,,90.0,nf
23-09-25 Lower  B.txt,2025-09-23,Lower  B,Lying Hamstring Curls,2.0,15.0,8.0,,,120.0,nf
23-09-25 Lower  B.txt,2025-09-23,Lower  B,Seated Calf Raises,1.0,15.0,10.0,,,150.0,ctf
23-09-25 Lower  B.txt,2025-09-23,Lower  B,Seated Calf Raises,2.0,15.0,10.0,,,150.0,ctf
23-09-25 Lower  B.txt,2025-09-23,Lower  B,Plank,1.0,,,90.0,,,f
23-09-25 Lower  B.txt,2025-09-23,Lower  B,Plank,2.0,,,60.0,,,ctf
23-09-25 Lower  B.txt,2025-09-23,Lower  B,Elbow-Supported Leg Raises,1.0,,20.0,,,,
23-09-25 Lower  B.txt,2025-09-23,Lower  B,Elbow-Supported Leg Raises,2.0,,15.0,,,,
23-10-25 Lower  B.txt,2025-10-23,Lower  B,Cable Tricep Pushdowns,1.0,25.0,11.0,,,275.0,f
23-10-25 Lower  B.txt,2025-10-23,Lower  B,Cable Tricep Pushdowns,2.0,25.0,9.0,,,225.0,f
23-10-25 Lower  B.txt,2025-10-23,Lower  B,Cable Hammer Curls,1.0,25.0,7.0,,,175.0,f
23-10-25 Lower  B.txt,2025-10-23,Lower  B,Cable Hammer Curls,2.0,25.0,5.0,,,125.0,f
23-10-25 Lower  B.txt,2025-10-23,Lower  B,Lying Hamstring Curls,1.0,25.0,6.0,,,150.0,f
23-10-25 Lower  B.txt,2025-10-23,Lower  B,Lying Hamstring Curls,2.0,25.0,5.0,,,125.0,f
23-10-25 Lower  B.txt,2025-10-23,Lower  B,Seated Calf Raises,1.0,20.0,8.0,,,160.0,f
23-10-25 Lower  B.txt,2025-10-23,Lower  B,Seated Calf Raises,2.0,20.0,7.0,,,140.0,f
23-10-25 Lower  B.txt,2025-10-23,Lower  B,Barbell Back Squats,1.0,72.0,9.0,,,648.0,f
23-10-25 Lower  B.txt,2025-10-23,Lower  B,Barbell Back Squats,2.0,72.0,4.0,,,288.0,f
23-10-25 Lower  B.txt,2025-10-23,Lower  B,Barbell RDLs,1.0,62.0,6.0,,,372.0,"f, with straps and belt, no MMC"
23-10-25 Lower  B.txt,2025-10-23,Lower  B,Barbell RDLs,2.0,,56.0,,,,still same as before ; (Wide feet)
23-10-25 Lower  B.txt,2025-10-23,Lower  B,Leg Press,1.0,150.0,6.0,,,900.0,f
23-10-25 Lower  B.txt,2025-10-23,Lower  B,Leg Press,2.0,150.0,4.0,,,600.0,f
23-10-25 Lower  B.txt,2025-10-23,Lower  B,Plank,1.0,,,67.0,,,
23-10-25 Lower  B.txt,2025-10-23,Lower  B,Plank,2.0,,,,,,(skipped)
23-10-25 Lower  B.txt,2025-10-23,Lower  B,Elbow-Supported Leg Raises,1.0,,10.0,,,,f
23-10-25 Lower  B.txt,2025-10-23,Lower  B,Elbow-Supported Leg Raises,2.0,,,,,,(skipped)
23_07_25 Torso B.txt,23_07_25,Torso B,Lat Pulldown,1.0,45.0,9.0,,,405.0,failure
23_07_25 Torso B.txt,23_07_25,Torso B,Lat Pulldown,2.0,50.0,7.0,,,350.0,failure
23_07_25 Torso B.txt,23_07_25,Torso B,T-Bar Rows,1.0,40.0,6.0,,,240.0,failure
23_07_25 Torso B.txt,23_07_25,Torso B,T-Bar Rows,2.0,40.0,6.0,,,240.0,f
23_07_25 Torso B.txt,23_07_25,Torso B,Straight-Arm Cable Pullover,1.0,20.0,9.0,,,180.0,failure
23_07_25 Torso B.txt,23_07_25,Torso B,Straight-Arm Cable Pullover,2.0,22.0,7.0,,,154.0,f
23_07_25 Torso B.txt,23_07_25,Torso B,Dumbbell Lateral Raises,1.0,7.5,12.0,,,90.0,f
23_07_25 Torso B.txt,23_07_25,Torso B,Dumbbell Lateral Raises,2.0,,7.0,,,,f
23_07_25 Torso B.txt,23_07_25,Torso B,Shrugs,1.0,25.0,7.0,,,175.0,f
23_07_25 Torso B.txt,23_07_25,Torso B,Shrugs,2.0,25.0,6.0,,,150.0,f
23_07_25 Torso B.txt,23_07_25,Torso B,Incline Barbell Bench Press,1.0,46.0,8.0,,,368.0,close
23_07_25 Torso B.txt,23_07_25,Torso B,Incline Barbell Bench Press,2.0,48.0,6.0,,,288.0,close
23_07_25 Torso B.txt,23_07_25,Torso B,Chest Pec Deck,1.0,45.0,7.0,,,315.0,close
23_07_25 Torso B.txt,23_07_25,Torso B,Chest Pec Deck,2.0,45.0,6.0,,,270.0,f
23_08_25 Lower D.txt,23_08_25,Lower D,Deadlifts,1.0,100.0,6.0,,,600.0,"ctf, mixed grip, with belt"
23_08_25 Lower D.txt,23_08_25,Lower D,Deadlifts,2.0,100.0,3.0,,,300.0,same as before
23_08_25 Lower D.txt,23_08_25,Lower D,Front Barbell Squats,1.0,20.0,10.0,,,200.0,
23_08_25 Lower D.txt,23_08_25,Lower D,Front Barbell Squats,2.0,20.0,10.0,,,200.0,(used plate at heels so form good)
23_08_25 Lower D.txt,23_08_25,Lower D,Barbell Good Mornings,1.0,20.0,12.0,,,240.0,good MMC
23_08_25 Lower D.txt,23_08_25,Lower D,Barbell Good Mornings,2.0,20.0,12.0,,,240.0,good MMC
23_08_25 Lower D.txt,23_08_25,Lower D,Bulgarian Split Squats,1.0,20.0,12.0,,,240.0,Good MMC
23_08_25 Lower D.txt,23_08_25,Lower D,Bulgarian Split Squats,2.0,30.0,8.0,,,240.0,"f, good MMC"
23_08_25 Lower D.txt,23_08_25,Lower D,Shrugs,1.0,20.0,11.0,,,220.0,f
23_08_25 Lower D.txt,23_08_25,Lower D,Shrugs,2.0,20.0,9.0,,,180.0,f
23_08_25 Lower D.txt,23_08_25,Lower D,Seated Calf Raises,1.0,15.0,12.0,,,180.0,f
23_08_25 Lower D.txt,23_08_25,Lower D,Seated Calf Raises,2.0,15.0,10.0,,,150.0,f
23_08_25 Lower D.txt,23_08_25,Lower D,Reverse EZ Bar Curls,1.0,26.0,10.0,,,260.0,f
